"Band","Rpt Xmit","Rpt Rec","Location","call","Mode","Access","Sponsor","Region"
"440","442.4500","447.4500","Salmon Arm","VE7RAM","FM","","VE7LOG","BC SOUTH"
"144","146.1600","146.7600","Salmon Arm","VE7RNH","FM","","Shuswap ARC","BC SOUTH"
"144","146.6400","146.0400","Sorrento","VE7RXX","FM","","VE7EHL","BC SOUTH"
"440","443.1000","448.1000","Port Coquitlam","VE7UDX","FM/C4FM","94.8HZ","EPCOM Club","LOWER MAINLAND &amp; COAST"
"52","52.8900","51.1900","Vancouver","VE7HCP","FM","","VE7HCP","LOWER MAINLAND &amp; COAST"
"144","146.8000","146.2000","Hazelton","VE7RHD","FM","100.0Hz","BVARC","BC NORTH"
"144","147.0400","147.6400","Vernon","VE7RIP","FM","","NORAC","BC SOUTH"
"144","146.9400","146.3400","Dawson Creek","VE7RDC","FM","","VE7DSD","BC NORTH"
"220","222.5400","146.0600","Sidney","VE7XMT","FM","100.0Hz","WARA","VANCOUVER ISLAND"
"144","146.7000","146.1000","Sayward","VE7RNC","FM","141.3Hz","NIARS","VANCOUVER ISLAND"
"440","444.8750","449.8750","Victoria","VE7VIC","FM","","WARA","VANCOUVER ISLAND"
"440","445.0000","144.7700","Qualicum Beach","VE7RQR","FM","","Mid Island RA","VANCOUVER ISLAND"
"144","145.3100","144.7100","Coquitlam","VE7MFS","FM","127.3Hz","VE7EJ","LOWER MAINLAND &amp; COAST"
"144","145.3700","144.7700","Parksville","VE7RPQ","FM","100.0/141.3Hz","Mid Island RA","VANCOUVER ISLAND"
"144","146.9800","146.3800","Pemberton","VE7PVR","FM","","Squamish ARC","LOWER MAINLAND &amp; COAST"
"440","444.4500","449.4500","Port Alberni","VE7KU","FM","","Arrowsmith ARC","VANCOUVER ISLAND"
"144","147.1400","147.7400","Rossland","VE7OGM","FM","","Ben Peach","BC SOUTH"
"440","444.7500","449.7500","Port Alberni","VE7RTE","FM","","Arrowsmith ARC","VANCOUVER ISLAND"
"144","146.9000","146.3000","Avola","VE7RNT","FM","100.0Hz","Wells Gray ARC","BC SOUTH"
"440","449.2500","444.2500","Kamloops","VE7RLO","FM","","Kamloops ARC","BC SOUTH"
"440","449.5000","444.5000","Kamloops","VE7KIG","FM","","IPARN","BC SOUTH"
"440","444.0000","449.0000","Blackpool","VE7RBP","FM","","WELLS GRAY ARC","BC SOUTH"
"144","145.3500","144.7500","Clearwater","VE7RBP","FM","","Wells Gray ARC","BC SOUTH"
"144","146.9200","146.3200","Clearwater","VE7RWG","FM","","Wells Gray ARC","BC SOUTH"
"144","145.0300","145.6300","Abbotsford","VE7PKV","FM","","FVARESS","LOWER MAINLAND &amp; COAST"
"440","449.3000","444.3000","Kamloops","VE7RHM","FM","","VE7LDM","BC SOUTH"
"144","146.8800","146.2800","Woss Lake","VE7RWV","FM","","NIARS","VANCOUVER ISLAND"
"144","146.7600","146.1600","Campbell River","VE7XJR","FM","","VE7BMR","VANCOUVER ISLAND"
"440","444.2500","449.2500","Victoria","VE7IA","FM","","VE7IA","VANCOUVER ISLAND"
"144","146.6100","146.0100","Abbotsford","VE7RVA","FM","110.9Hz","FVARESS","LOWER MAINLAND &amp; COAST"
"440","449.8750","146.2400","Victoria","VE7XIC","","","WARA","VANCOUVER ISLAND"
"144","145.2700","144.6700","Vancouver","VE7RHS","FM","100.0Hz","UBC ARS","LOWER MAINLAND &amp; COAST"
"144","147.0400","147.6400","Vancouver","VE7RCH","FM","","VE7EX","LOWER MAINLAND &amp; COAST"
"440","442.8500","447.8500","Burnaby","VE7RBY","FM","","Burnaby ARC","LOWER MAINLAND &amp; COAST"
"440","444.0750","449.0750","Vancouver","VE7TOK","FM","","VE7MBG","LOWER MAINLAND &amp; COAST"
"144","147.2200","147.8200","Shirley/Jordon River","VE7RSK","FM","123.0Hz","VE7DHM","VANCOUVER ISLAND"
"52","52.8300","51.1300","Victoria","VE7RSX","FM","100.0Hz","WARA","VANCOUVER ISLAND"
"440","442.2250","447.2250","Vancouver","VE7RPS","FM","88.5Hz","VE7MMA","LOWER MAINLAND &amp; COAST"
"440","442.4250","447.4250","Vernon","VE7PE","FM","","VE7PE","BC SOUTH"
"144","146.8000","146.2000","Maple Ridge","VE7RMR","FM","156.7Hz","Maple Ridge ARC","LOWER MAINLAND &amp; COAST"
"144","147.0600","146.4600","Quesnel","VE7RQL","FM","","Quesnel ARC","BC NORTH"
"220","224.9600","223.3600","Burnaby","VE7VYL","FM","","BCFMCA","LOWER MAINLAND &amp; COAST"
"144","146.7600","146.1600","Granite Peak","VE7RNH","FM","","Shuswap ARC","BC SOUTH"
"440","447.5750","442.5750","Comox Valley","VE7RAP","FM","","Comox Valley ARC","VANCOUVER ISLAND"
"144","146.9400","146.3400","Port McNeil","VE7RNI","FM","","NIARS","VANCOUVER ISLAND"
"144","147.2400","147.8400","Kelowna","VE7RIM","FM","","VE7JX","BC SOUTH"
"144","147.0600","147.6600","Burnaby","VE7FVR","FM","","IPARN","LOWER MAINLAND &amp; COAST"
"144","146.9400","146.3400","Prince Rupert","VE7RKI","FM","","VE7EDZ","BC NORTH"
"144","146.9000","146.3000","Vernon","VA7OKN","FM","123.0Hz","VE7OHM","BC SOUTH"
"144","146.8200","146.2200","Kitimat","VE7SNO","FM","","Kitimat ARC","BC NORTH"
"144","146.8200","146.2200","Kelowna","VE7ROC","FM","","OCARC","BC SOUTH"
"144","146.8800","146.2800","Prince Rupert","VE7RPR","FM","","PRARC","BC NORTH"
"144","147.2800","147.8800","Prince Rupert","VE7RMM","FM","","Prince Rupert ARC","BC NORTH"
"440","443.5750","448.5750","Victoria","VE7RAA","FM","","VE7CCD","VANCOUVER ISLAND"
"144","146.6800","146.0800","Queen Charlotte","VE7RQI","FM","","QCI ARC","BC NORTH"
"144","146.6800","146.0800","Clinton","VE7RKL","FM","","IPARN","BC SOUTH"
"144","146.6600","146.0600","Merritt","VE7IRN","FM","","BCFMCA","BC SOUTH"
"144","147.0600","147.6600","Manning Park","VE7MPR","FM","","IPARN","BC SOUTH"
"52","52.9100","51.2100","Anvil Island","VE7QRO","FM","","VE7LWB","LOWER MAINLAND &amp; COAST"
"144","147.0600","147.6600","Lytton","VE7HGR","FM","","IPARN","BC SOUTH"
"440","444.4750","449.4750","Vancouver","VE7PRA","FM","","Pacific Rim ARA","LOWER MAINLAND &amp; COAST"
"144","147.3200","147.9200","Salt Spring Island","VE7RSI","FM/C4FM","88.5Hz","Salt Spring ARS","VANCOUVER ISLAND"
"440","444.5500","449.5500","Salt Spring Island","VE7RGP","FM/C4FM","103.5Hz","Salt Spring ARS","VANCOUVER ISLAND"
"144","146.7400","146.1400","Monashee Pass","VE7SMT","FM","123.0Hz","NORAC","BC SOUTH"
"144","145.2100","144.6100","Vancouver","VE7RTY","FM","","Pac.Rim ARA","LOWER MAINLAND &amp; COAST"
"220","224.8400","223.2400","Vancouver","VE7TOK","FM","","Murray Gjernes","LOWER MAINLAND &amp; COAST"
"440","443.6250","448.6250","Cranbrook","VE7CAP","FM","","EKARC","BC SOUTH"
"144","146.8000","146.2000","Creston","VE7RCA","FM","88.5Hz","EKARC","BC SOUTH"
"144","147.3800","147.9800","Osoyoos","VE7ROR","FM","88.5Hz","OARC","BC SOUTH"
"440","444.1750","449.1750","Vancouver","VE7RIO","FM","156.7Hz","Van Emerg Comm Soc","LOWER MAINLAND &amp; COAST"
"440","444.1000","449.1000","Vancouver","VE7ROY","FM","100.0Hz","VE7COT","LOWER MAINLAND &amp; COAST"
"144","146.9600","146.3600","Campbell River","VE7CRC","FM","100.0Hz","VE7BMR","VANCOUVER ISLAND"
"144","147.3000","147.9000","Vancouver","VE7RNV","FM","100.0Hz","NSARC","LOWER MAINLAND &amp; COAST"
"144","147.2400","147.8400","Barriere","VE7RTN","FM","","Kevin Larsen","BC SOUTH"
"440","449.2500","444.2500","Edgewood/Nakusp","VE7SMT","FM","","NORAC","BC SOUTH"
"440","430.9500","439.9500","North Vancouver","VE7RYZ","FM","","VE7PSA","LOWER MAINLAND &amp; COAST"
"144","147.0800","147.6800","Shuswap","VE7LIM","FM","","VE7DTN","BC SOUTH"
"440","430.7500","439.7500","Abbotsford","VE7RYY","FM","","FVCCG","LOWER MAINLAND &amp; COAST"
"440","443.6500","448.6500","Campbell River","VE7CRC","FM","100.0Hz","CRARS","VANCOUVER ISLAND"
"440","442.8000","447.8000","Chilliwack","VA7RSH","FM","110.9Hz","VE7EX","LOWER MAINLAND &amp; COAST"
"440","442.4500","447.4500","Campbell River","VE7NVI","FM","","VE7JZ","VANCOUVER ISLAND"
"440","442.7750","447.7750","Langford","VE7LEP","FM","123.0Hz","Langford Emerg. Pgm.","VANCOUVER ISLAND"
"440","443.0750","448.0750","Saanich","VA7XMR","FM","","CERT-BC","VANCOUVER ISLAND"
"220","224.6200","223.0200","Sayward","VE7RNC","FM","l","NIARS","VANCOUVER ISLAND"
"440","442.9500","447.9500","Vancouver","VE7AAU","FM","114.8Hz","RADIO ATS","LOWER MAINLAND &amp; COAST"
"440","442.5750","447.5750","Vancouver","VE7ZIT","FM","114.8Hz","Radio Filipinas Int'l","LOWER MAINLAND &amp; COAST"
"144","147.0600","147.6600","Vernon","VE7RNR","FM","","NORAC","BC SOUTH"
"144","146.8800","146.2800","Vanderhoof","VE7RON","FM","","VE7UP","BC NORTH"
"144","146.8000","146.2000","Vanderhoof","VE7RSM","FM","100.0Hz","PGARC","BC NORTH"
"144","146.7600","146.1600","Dawson Creek","VE7RMS","FM","100.0Hz","BC Oil Country ARC","BC NORTH"
"144","146.6400","146.0400","Salmon Arm","VE7RAM","FM","","VE7LOG","BC SOUTH"
"144","146.6000","146.0000","Valemont","VE7YCR","FM","","Wells Gray ARC","BC SOUTH"
"440","444.1000","449.1000","Williams Lake","VE7ZIG","FM","","VE7IG","BC NORTH"
"144","146.7800","146.1800","Kelowna","VE7SFX","FM/C4FM","88.5Hz","VE7EQN","BC SOUTH"
"144","146.8400","146.2400","Victoria","VE7VIC","FM","100.0Hz","WARA","VANCOUVER ISLAND"
"144","146.8800","146.2800","Vernon","VE7RSS","FM","","NORAC","BC SOUTH"
"144","147.1600","147.7600","Oliver","VE7RBD","FM","88.5Hz","Oliver ARC","BC SOUTH"
"144","146.9400","146.3400","Cranbrook","VE7CAP","FM","88.5Hz","EKARC","BC SOUTH"
"144","146.9400","146.3400","Fort Nelson","VE7VFN","FM","","FNARC","BC NORTH"
"144","147.1200","147.7200","Williams Lake","VE7RWL","FM","100.0Hz","VE7PW","BC NORTH"
"144","146.8800","146.2800","Williams Lake","VE7WLR","FM","","VE7PW","BC NORTH"
"144","146.9100","146.3100","Chetwynd","VE7ATY","FM","","BC Oil Country ARC","BC NORTH"
"144","147.1200","147.7200","Penticton","VE7RPC","FM","","VE7EBR","BC SOUTH"
"144","145.3900","144.7900","New Westminster","VE7NWR","FM","100.0Hz","NWARC","LOWER MAINLAND &amp; COAST"
"144","147.1200","147.7200","Victoria","VE7RBA","FM","100.0Hz","VE7IA","VANCOUVER ISLAND"
"144","146.8200","146.2200","Campbell River","VE7RVR","FM","","VE7RVR","VANCOUVER ISLAND"
"144","146.6600","146.0600","Salt Spring Is.","VE7RMT","FM","100.0Hz","WARA","VANCOUVER ISLAND"
"144","146.0000","146.6000","Terrace","VE7RTK","FM","","Terrace ARC","BC NORTH"
"144","147.0600","146.4600","Kitimat","VE7RAF","FM",".","VE7ACF","BC NORTH"
"144","147.3000","147.9000","Barriere","VE7RTN","FM","","VE7PW","BC SOUTH"
"440","442.6500","447.6500","Barriere","VA7RTN","FM","","VE7MOB","BC SOUTH"
"440","442.6500","447.6500","Clinton","VE7LMR","FM","","VE7PW","BC SOUTH"
"440","442.8750","447.8750","Barriere","VE7RTN","FM","","VE7PW","BC SOUTH"
"144","147.2400","147.8400","Kamloops","VE7KIG","FM","","VE7LGF","BC SOUTH"
"144","147.3600","147.9600","Clinton","VE7LMR","FM","162.2Hz","VE7PW","BC SOUTH"
"144","147.3000","147.9000","Sparwood","VE7RSQ","FM","100.0Hz","Karl Ehrler","BC SOUTH"
"144","146.8400","146.2400","Trail","VE7CAQ","FM","","BVARC","BC SOUTH"
"440","444.5500","449.5500","Nelson","VE7RCT","FM","","WKARC","BC SOUTH"
"144","146.6400","146.0400","Nelson","VE7RCT","FM","88.5Hz","WKARC","BC SOUTH"
"440","444.8250","449.8250","Vancouver","VE7VYL","FM","156.7Hz","BCFMCA","LOWER MAINLAND &amp; COAST"
"440","443.6750","448.6750","Burnaby","VE7CBN","FM","114.8Hz","VE7XL","LOWER MAINLAND &amp; COAST"
"440","443.2000","448.2000","Vancouver","VE7NSR","FM","","NSARC","LOWER MAINLAND &amp; COAST"
"144","147.0600","146.4600","Crawford Bay","VE7BTU","FM","100.0Hz","WKARC","BC SOUTH"
"144","146.9600","146.3600","Kamloops","VE7RKA","FM","","Kamloops ARC","BC SOUTH"
"144","147.3200","147.9200","Kamloops","VE7RLO","FM","","Kamloops ARC","BC SOUTH"
"144","145.2900","144.6900","Alberni Valley","VE7RTE","FM","141.3Hz","VE7TFM","VANCOUVER ISLAND"
"144","145.2900","144.6900","Saanich","VE7SER","FM","167.9Hz","Saanich EPCS","VANCOUVER ISLAND"
"440","442.1500","147.9200","Kamloops","VE7RLO","FM","","Kamloops ARC","BC SOUTH"
"440","432.4750","437.4750","Kamloops","VE7TSI","FM","","Kamloops ARC","BC SOUTH"
"440","443.2750","448.2750","Vancouver","VE7RCI","FM","","VE7EX","LOWER MAINLAND &amp; COAST"
"144","145.1100","144.5100","Chilliwack","VA7RSH","FM","","VE7EX","LOWER MAINLAND &amp; COAST"
"440","443.2500","448.2500","Vancouver","VE7RCH","FM","","VE7EX","LOWER MAINLAND &amp; COAST"
"440","442.1750","147.9200","Kamloops","VE7RLO","FM","","Kamloops ARC","BC SOUTH"
"440","442.4750","447.4750","Burnaby","VA7PRE","FM","","VE7RMY","LOWER MAINLAND &amp; COAST"
"440","443.5500","448.5500","Delta","VA7RPA","FM","DTMF100","VE7VDU","LOWER MAINLAND &amp; COAST"
"144","147.0800","147.6800","Hope","VE7RVB","FM","110.9Hz","FVARESS","LOWER MAINLAND &amp; COAST"
"144","145.1700","144.5700","Burnaby","VE7TEL","FM","","TPARC","LOWER MAINLAND &amp; COAST"
"144","147.2100","147.8100","Fort St. John","VE7RUC","FM","100.0Hz","BC Oil Country ARC","BC NORTH"
"440","442.8250","447.8250","Clinton","VE7LMR","FM","","VE7PW","BC SOUTH"
"440","442.3250","447.3250","Vancouver","VE7VHF","FM","100.0Hz","VE7HMW","LOWER MAINLAND &amp; COAST"
"902","915.0000","147.5250","Vancouver","VE7VHF","ATV","","VE7HMW","LOWER MAINLAND &amp; COAST"
"1200","1,246.0000","2,410.0000","Vancouver","VE7VHF","ATV","","VE7HMW","LOWER MAINLAND &amp; COAST"
"1200","1,289.0000","2,434.0000","Vancouver","VE7VHF","ATV","","VE7HMW","LOWER MAINLAND &amp; COAST"
"440","444.7000","449.7000","Chilliwack","VE7RAD","FM","","VE7IHR &amp; VE7ICX","LOWER MAINLAND &amp; COAST"
"440","444.9750","449.9750","Terrace","VE7RDD","FM","","Doug Davies, VA7DD","BC NORTH"
"144","146.9400","146.3400","Terrace","VE7RDD","FM","","Doug Davies, VA7DD","BC NORTH"
"144","146.7800","146.1800","Comox Valley","VE7RCV","FM","141.3Hz","Comox Valley ARC","VANCOUVER ISLAND"
"144","147.3300","146.7300","Mackenzie","VE7ZBK","FM","","Mackenzie ARC","BC NORTH"
"440","444.2000","449.2000","Parksville","VE7PQD","FM","","ORCA","VANCOUVER ISLAND"
"440","444.3000","449.3000","Nanoose Bay","VA7LPG","FM","141.3Hz","VE7IT","VANCOUVER ISLAND"
"144","147.2400","147.8400","Fort St. James","VE7RFF","FM","100.0Hz","VE7XJC","BC NORTH"
"144","147.2800","147.8800","Parksville","VE7PQA","FM","141.3Hz","ORCA","VANCOUVER ISLAND"
"440","442.5250","447.5250","Nanaimo","VE7IPM","FM","141.3Hz","VA7MPG","VANCOUVER ISLAND"
"144","145.4300","144.8300","Prince George","VE7RES","FM","100.0Hz","PGARC","BC NORTH"
"144","146.2500","146.8500","Pouce Coupe","VE7AGJ","FM","","VE7AGJ","BC NORTH"
"440","442.1750","447.1750","Vancouver","VE7MDT","DMR","107.2Hz","VE7MDT","LOWER MAINLAND &amp; COAST"
"440","444.6000","449.6000","Osoyoos","VE7OSY","FM","107.2Hz","VA7WCN","BC SOUTH"
"440","444.9500","449.9500","Vancouver","VE7RNV","FM","","NSARC","LOWER MAINLAND &amp; COAST"
"144","147.0000","147.6000","Squamish","VE7SQR","FM","77.0Hz","VE7CUU","LOWER MAINLAND &amp; COAST"
"52","52.9700","51.2700","Victoria","VE7RFR","FM","","VE7DAT","VANCOUVER ISLAND"
"144","146.7400","146.1400","100 Mile House","VE7SCQ","FM","162.2Hz","Kevin Larsen","BC SOUTH"
"144","147.3800","147.9800","Barriere","VA7RTN","FM","","VE7MOB","BC SOUTH"
"144","146.6400","146.0400","Fort St. John","VE7RSJ","FM","100.0Hz","BC Oil Country ARC","BC NORTH"
"144","145.4900","144.8900","Port Coquitlam","VA7RPC","FM","94.8Hz","Poco Fire Rescue","LOWER MAINLAND &amp; COAST"
"144","146.8000","146.2000","Alexis Creek","VA7TRU","FM","162.2Hz","VE7PW","BC SOUTH"
"144","146.8000","146.2000","Vernon","VE7EGO","FM","","NORAC","BC SOUTH"
