"Band","Rpt Xmit","Rpt Rec","Location","call","Mode","Access","Sponsor","Region"
"440","443.7750","448.7750","Kelowna","VE7ROC","FM","","OCARC","BC SOUTH"
"440","443.7750","448.7750","Surrey","VE7RSC","FM","110.9Hz","Surrey ARC","LOWER MAINLAND &amp; COAST"
"144","147.3600","147.9600","Surrey","VE7RSC","FM","110.9Hz","Surrey ARC","LOWER MAINLAND &amp; COAST"
"440","443.1500","448.1500","Vancouver","VE7NYE","FM/NXDN","127.3Hz","VA7NY","LOWER MAINLAND &amp; COAST"
"440","443.3500","448.3500","Delta","VE7EPP","FM","127.3Hz","VA7NY","LOWER MAINLAND &amp; COAST"
"144","147.2800","147.8800","Grand Forks","VE7RGF","FM","","Grand Forks ARC","BC SOUTH"
"144","147.1600","147.7600","Comox","VE7KIG","FM","","VE7LGF","VANCOUVER ISLAND"
"144","145.2900","144.6900","Osoyoos","VE7EHF","FM","107.2Hz","KARTS","BC SOUTH"
"220","224.9400","223.3400","Chemainus","VE7AQW","FM","141.3Hz","Cowichan ARS","VANCOUVER ISLAND"
"220","224.0400","222.4400","Ladysmith","VA7DXH","FM","141.3Hz","VA7DXX","VANCOUVER ISLAND"
"144","145.2700","144.6700","Osoyoos","VE7OSY","FM","107.2Hz","KARTS","BC SOUTH"
"1200","1,247.0000","1,259.0000","Kelowna","VA7DIG","D-Star","","OCARC","BC SOUTH"
"144","147.1500","147.7500","Port Alberni","VE7RPA","FM","141.3Hz","Arrowsmith ARC","VANCOUVER ISLAND"
"144","147.0000","146.4000","Ucluelet","VE7RWC","FM","100.0Hz","VE7CM","VANCOUVER ISLAND"
"144","145.4700","144.8700","Duncan","VE7RVC","FM","127.3Hz","CVARS","VANCOUVER ISLAND"
"144","146.9800","146.3800","Mount McDonald","VE7RYF","FM/C4FM","103.5Hz","VE7ED","VANCOUVER ISLAND"
"144","146.7000","146.1000","N. Kootenay Nat. Park","VE7KNP","FM","131.8Hz","Wild Rose Network","BC SOUTH"
"440","440.8500","445.8500","Parksville","VE7MIR","FM","100.0Hz","Mid-Island Radio Assoc","VANCOUVER ISLAND"
"220","224.9000","223.3000","Cowichan Valley","VE7AQW","FM","141.3Hz","CVARS","VANCOUVER ISLAND"
"144","146.8600","146.2600","Chilliwack","VE7VCR","FM","88.5Hz","VE7HD","LOWER MAINLAND &amp; COAST"
"144","147.3400","147.9400","Osoyoos","VE7STA","FM","","VA7PN","BC SOUTH"
"144","147.3400","147.9400","South Okanagan","VE7RSO","FM","107.2Hz","VA7WCN","BC SOUTH"
"144","147.2400","147.8400","Redstone","VE7BYC","FM","162.2Hz","VE7YY","BC SOUTH"
"440","442.8750","447.8750","Burnaby","VE7TEL","FM","","TPARC","LOWER MAINLAND &amp; COAST"
"440","443.0500","448.0500","Vancouver","VE7YV","FM","110.9Hz","VA7RDO &amp; VE7YXX","LOWER MAINLAND &amp; COAST"
"440","442.0500","447.0500","Burnaby","VE7REM","FM","156.7Hz","VE7AFZ","LOWER MAINLAND &amp; COAST"
"144","146.7200","146.1200","Revelstoke","VA7AZG","FM","","VE7AZG","BC SOUTH"
"440","442.3500","447.3500","Delta","VE7EPP","FM","127.3Hz","VA7NYE","LOWER MAINLAND &amp; COAST"
"144","146.8200","146.2200","Whistler","VE7WHI","FM","100.0Hz","VE7MCJ","LOWER MAINLAND &amp; COAST"
"440","443.0000","448.0000","Nanaimo","VA7VIU","FM","141.3Hz","VE6MJL","VANCOUVER ISLAND"
"440","440.6000","445.6000","New Westminster","VE7NWC","FM","","VE7KSA","LOWER MAINLAND &amp; COAST"
"440","442.5000","447.5000","Richnomd","VA7REF","FM/C4FM","100.0Hz","VE7LEE","LOWER MAINLAND &amp; COAST"
"220","223.9600","222.3600","Surrey","VE7RSC","FM","110.9Hz","SARC","LOWER MAINLAND &amp; COAST"
"440","443.7250","448.7250","Vancouver","VE7RVU","FM/C4FM","","VECTOR","LOWER MAINLAND &amp; COAST"
"440","440.9000","445.9000","Richmond","VA7RER","FM","79.7Hz","Richmond Emerg pgm ARS","LOWER MAINLAND &amp; COAST"
"144","145.4100","144.8100","Ladysmith","VA7DXX","C4/FM","141.3Hz","VA7DXH","VANCOUVER ISLAND"
"440","442.5500","447.5500","Princeton","VE7ILZ","FM","110.9Hz","VE7AT","BC SOUTH"
"144","145.4500","144.8500","Vancouver","VE7RVF","FM","100.0Hz","VECTOR","LOWER MAINLAND &amp; COAST"
"440","443.7750","448.7750","Castlegar","VE7RRW","digi,e,l","","VE7JPS","BC SOUTH"
"144","145.0500","145.6500","Vernon","VE7KHZ","DMR","","VE7KHZ","BC SOUTH"
"440","442.4500","447.4500","Ladysmith","VE7DNR","FM","141.3Hz","VE7LSE","VANCOUVER ISLAND"
"144","145.1500","144.5500","Osoyoos","VA7OSH","FM","100.0Hz","VA7NZ","BC SOUTH"
"440","440.8750","445.8750","Victoria","VE7RUV","FM","","Uvic exp. Radio gp.","VANCOUVER ISLAND"
"440","442.6250","447.6250","Langley","VA7XTT","FM/C4FM","100.0Hz","VE7LEE","LOWER MAINLAND &amp; COAST"
"440","444.3750","449.3750","Salt Spring Island","VE7EMG","FM/C4FM","88.5Hz","VE7GDH","VANCOUVER ISLAND"
"440","442.6500","447.6500","Squamish","VE7CTJ","FM/C4FM","","VE7SQR","LOWER MAINLAND &amp; COAST"
"440","440.8000","445.8000","Maple Ridge","VE7RMR","D-Star","","Maple Ridge ARC","LOWER MAINLAND &amp; COAST"
"440","444.5000","449.5000","Kelowna","VE7HWY","FM/C4FM","88.5Hz","OCARC","BC SOUTH"
"144","145.3500","144.7500","Penticton","VE7PSC","FM","123.0Hz","Penticton ARC","BC SOUTH"
"440","443.5000","448.5000","Vancouver","VE7MDT","DMR","","VE7NDT","LOWER MAINLAND &amp; COAST"
"440","444.4000","449.4000","Kelowna","VE7KEL:","FM/C4FM","88.5Hz","OCARC","BC SOUTH"
"144","145.0900","145.6900","Kelowna","VE7KEL:","FM,C4FM","88.5Hz","OCARC","BC SOUTH"
"144","145.2500","144.6500","Kelowna","VE7HWY","FM/C4FM","88.5Hz","OCARC","BC SOUTH"
"144","146.9800","146.3800","Mount McDonald","VE7RWS","FM","103.5Hz","VE7ED","VANCOUVER ISLAND"
"440","442.0750","447.0750","Richmond","VE7PBQ","FM/C4FM","79.7Hz","Lulu Island ARC","LOWER MAINLAND &amp; COAST"
"144","146.8800","146.2800","S.Kootenay Nat Park","VE7PRN","FM","131.8Hz","Wild Rose network","BC SOUTH"
"440","449.9000","444.9000","Enderby","VE7EJP","FM","88.5Hz","VA7UN","BC SOUTH"
"144","147.3000","147.9000","Vernon Turtle Mnt","VE7VTV","FM","88.5Hz","VA7UN","BC SOUTH"
"144","146.7000","146.1000","Penticton","VA7PTV","FM","88.5Hz","VA7UN","BC SOUTH"
"220","224.8200","223.2200","Vancouver","VE7RVX","FM","","VECTOR","LOWER MAINLAND &amp; COAST"
"52","52.8700","51.1700","Duncan","VE7AQW","FM","141.3Hz","CVARS","VANCOUVER ISLAND"
"902","927.6875","902.6875","Burnaby","VE7VDX","FM/P25","114.8Hz","North Fraser ARC","LOWER MAINLAND &amp; COAST"
"440","442.3000","447.3000","Vancouver","VE7YSF","FM/C4FM","","VA7CAB","LOWER MAINLAND &amp; COAST"
"144","145.3300","144.7300","Campbell River","VA7SRQ","FM","","VA7SEC","VANCOUVER ISLAND"
"440","442.5500","447.5500","Abbotsford","VE7RVA","C4FM","","FVARESS","LOWER MAINLAND &amp; COAST"
"440","443.8500","448.8500","West Vancouver","VE7SLV","DMR","","Salish Sea Signallers","LOWER MAINLAND &amp; COAST"
"144","147.2600","147.8600","Vancouver","VE7RNV","FM","","NSARC","LOWER MAINLAND &amp; COAST"
"144","146.8200","146.2200","Mackenzie Morfee Mtn","VE7MKR","FM","100.0Hz","PGARC","BC NORTH"
"144","146.7000","146.1000","Prince George","VE7RES","FM","100.0Hz","PGARC","BC NORTH"
"144","147.0900","147.6900","Prince George - East","VE7RES","FM","100.0Hz","PGARC","BC NORTH"
"144","145.1900","144.5900","Prince George","VE7RES","D-STAR","","PGARC","BC NORTH"
"144","147.3600","147.9600","Nation Lakes","VA7RC","FM","","PGARC","BC NORTH"
"440","443.8500","448.8500","Squamish","VA7WRP","DMR","","Squamish Emergency Program","LOWER MAINLAND &amp; COAST"
"440","442.5000","447.5000","Vernon","VE7EGO","FM/C4FM","","NORAC","BC SOUTH"
"144","147.3800","147.9800","Vernon","VE7EGO","FM/C4FM","","NORAC","BC SOUTH"
"440","444.2750","449.2750","Vernon","VE7RVN","FM","110.9Hz","NORAC","BC SOUTH"
"440","440.4594","445.4594","North Vancouver","VE7WAR","NXDN","RAN 44","NorthFraser ARC","LOWER MAINLAND &amp; COAST"
"440","444.9000","449.9000","Nanaimo","VE7GFD","FM/C4FM","141.3Hz","Gabriola Emerg. Com. Soc.","VANCOUVER ISLAND"
"440","440.4250","445.4250","Maple Ridge","VE7PTF","P25","NAC $293","North Fraser ARC","LOWER MAINLAND &amp; COAST"
"1200","1,290.5000","1,270.5000","Coquitlam","VE7NZ","D-Star","","VE7NZ","LOWER MAINLAND &amp; COAST"
"902","927.9875","902.9875","Maple Ridge","VE7NGR","FM/P25","114.8Hz","North Fraser ARC","LOWER MAINLAND &amp; COAST"
"902","902.9875","927.9875","Maple Ridge","VE7NFR","FM/P25","114.8Hz","VA7SL","LOWER MAINLAND &amp; COAST"
"440","444.6500","449.6500","Vancouver","VA7DTR","FM/C4FM","156.7Hz","VE7LEE","LOWER MAINLAND &amp; COAST"
"440","440.3500","445.3500","Pitt Meadows","VA7PTF","P25","NAC 298","North Fraser ARC","LOWER MAINLAND &amp; COAST"
"440","440.8000","445.8000","Peachland","VE7CDN","C4/FM","","VE7FU","BC SOUTH"
"440","444.1750","449.1750","Kelowna","VE7EQN","C4FM,MMDVM","","VE7EQN","BC SOUTH"
"144","147.0000","146.4000","Langley","VA7OAC","FM/C4FM","110.9Hz","VE7HUR","LOWER MAINLAND &amp; COAST"
"144","146.7200","146.1200","Bowen Island","VE7BNV","FM","100Hz","VE7BGA","LOWER MAINLAND &amp; COAST"
"144","145.5500","144.9500","Victoria","VE7VIC","DMR","","WARA","VANCOUVER ISLAND"
"440","440.0250","445.0250","Vancouver","VE7KEY","DMR","","VE7HKQ","LOWER MAINLAND &amp; COAST"
"144","147.2000","147.8000","Vancouver","VE7RVZ","FM","100.0Hz","Vector","LOWER MAINLAND &amp; COAST"
"440","440.1000","445.1000","Aldergrove","VA7NFR","P25","NAC 290","VE7IOX","LOWER MAINLAND &amp; COAST"
"440","440.8250","445.8250","Nanaimo","VE7NHR","DMR","","VE7KCY","VANCOUVER ISLAND"
"440","440.0850","445.0850","Maple Ridge","VA7NYE","P25","","VE7IOX","LOWER MAINLAND &amp; COAST"
"440","448.5250","443.5250","Kamloops","VE7FUS","FM/C4FM","","KARC","BC SOUTH"
"440","444.8000","449.8000","Mount Matheson","VE7RYF","FM/C4FM","100.0Hz","VE7ED","VANCOUVER ISLAND"
"440","443.3750","448.3750","Gibsons","VE7QNX","FM","100.0Hz","VE7RBE","LOWER MAINLAND &amp; COAST"
"144","147.3600","147.9600","Surrey south","VE7RSC","FM/C4FM","103.5Hz","Surrey ARC","LOWER MAINLAND &amp; COAST"
"440","440.0125","445.0125","Coquitlam","VE7NZ","FM/P25","103.5Hz","VE7IOX","LOWER MAINLAND &amp; COAST"
"144","145.0100","145.6100","Port Moody","VA7HIZ","D-STAR/DMR","","VE7LLW","LOWER MAINLAND &amp; COAST"
"440","440.1250","445.1250","Port Moody","VA7FIZ","FM/DMR","88.5Hz","VE7LLW","LOWER MAINLAND &amp; COAST"
"144","145.3300","144.7300","Burnaby","VA7INC","FM","114.8Hz","Scan-i","LOWER MAINLAND &amp; COAST"
"440","442.6750","447.6750","Vancouver","VE7HDD","FM/C4FM","103.5Hz","VE7HKQ","LOWER MAINLAND &amp; COAST"
"440","440.1313","445.1313","Port Moody","VA7FIZ","DMR","","VE7NFR","LOWER MAINLAND &amp; COAST"
"440","440.4438","445.4438","North Vancouver","VA7NXD","NXDN","RAN 8","North Fraser ARC","LOWER MAINLAND &amp; COAST"
"144","145.5100","144.9100","Abbotsford","VE7NXA","NXDN","RAN 14","North Fraser ARC","LOWER MAINLAND &amp; COAST"
"144","147.3400","147.9400","Kamloops","VE7TEQ","FM","110.9Hz","Harper","BC SOUTH"
"440","443.7500","448.7500","Marysville","VE7DCX","DMR","CC1","VE7MRP","BC SOUTH"
"440","440.0125","445.0125","Coquitlam","VE7NZ","FM/P25","114.8Hz","North Fraser ARC","LOWER MAINLAND &amp; COAST"
"144","441.6600","146.4150","Mission","VA7YH","FM","100.0Hz","VE7CQE","LOWER MAINLAND &amp; COAST"
"144","145.0225","145.6225","Burnaby","VA7DIZ","DMR","","VE7LLW","LOWER MAINLAND &amp; COAST"
"144","146.4150","441.6600","Mission","VA7FVS","FM","100.0Hz","VE7CQE","LOWER MAINLAND &amp; COAST"
"440","444.8500","449.8500","Mount McDonald","VE7RYF","FM/C4FM","100.0Hz","VE7ED","VANCOUVER ISLAND"
"220","224.0200","224.4200","Langford","VE7LEP","FM","123.0Hz,e","Langford Emerg. Pgm.","VANCOUVER ISLAND"
"440","444.8000","449.8000","Duncan","VE7RNA","FM","131.8Hz","CVARS","VANCOUVER ISLAND"
"440","444.2500","449.2500","Port Alberni","VE7CIM","DMR","","VE7CM","VANCOUVER ISLAND"
"440","443.1000","448.1000","108 Mile Ranch","VA7KKW","digital","","VA7KKW","BC SOUTH"
"144","145.4500","144.8500","Lac La Hache","VA7KKW","DMR/FM","100.0Hz","VA7YI","BC NORTH"
"144","147.2000","147.8000","Clearwater","VE7WGE","FM","","Wells Gray ARC","BC SOUTH"
"144","147.0400","147.6400","Nelson","VE7BDY","FM","100.0 Hz","West Kootenay ARC","BC SOUTH"
"144","146.8800","146.2800","Vancouver","VA7RRV","FM","100.0Hz","VA7LET","LOWER MAINLAND &amp; COAST"
"1200","1,292.2000","1,272.2000","Campbell River","VE7ZZH","D-STAR","","Campbell River ARS","VANCOUVER ISLAND"
"144","145.5100","144.9100","Campbell River","VE7ZZH","D-STAR","","Campbell River ARS","VANCOUVER ISLAND"
"440","440.5000","445.5000","Campbell River","VE7ZZH","D-STAR","","Campbell River ARS","VANCOUVER ISLAND"
"144","146.7200","146.1200","Sooke","VA7PRR","FM/D-STAR","103.5Hz,e","VA7WPN","VANCOUVER ISLAND"
"144","147.0800","147.6800","Merritt","VE7RIZ","FM","110.9Hz","VE7RIZ","BC SOUTH"
"440","442.0000","447.0000","Surrey","VA7ICM","D-STAR","","VE7JW","LOWER MAINLAND &amp; COAST"
"440","440.1750","445.1750","Lantzville","VE7VDX","FM/P25","114.8Hz","North Fraser ARC","LOWER MAINLAND &amp; COAST"
"440","442.5250","447.5250","Kamloops","VE7RLO","FM","100.0Hz","Kamloops ARC","BC SOUTH"
"440","443.6250","448.6250","Cranbrook","VE7CRX","DMR","","VE7MRP","BC SOUTH"
"440","443.8250","448.8250","Penticton","VE7BJA","MMDVM","","VA7RRD","BC SOUTH"
"144","146.9200","146.3200","Nanaimo","VE7VIU","FM","141.3Hz","NARA","VANCOUVER ISLAND"
"440","443.9500","448.9500","Port McNeil","VE7RNI","FM","l","NIARS","VANCOUVER ISLAND"
"220","223.0200","224.6200","Port Hardy","VE7ARK","FM","l","NIARS","VANCOUVER ISLAND"
"220","223.0200","224.6200","Woss","VE7RWV","FM","l","NIARS","VANCOUVER ISLAND"
"440","448.7000","443.7000","Sayward","VE7RNC","FM","141.3Hz","NIARS","VANCOUVER ISLAND"
"440","448.9500","443.9500","Port Hardy","VE7ARK","FM","","NIARS","VANCOUVER ISLAND"
"220","223.0200","224.6200","Campbell River","VE7RVR","FM","l","John Carl Adams","VANCOUVER ISLAND"
"220","223.0200","224.6200","Nanaimo","VE7DJA","FM","l","NARA","VANCOUVER ISLAND"
"440","430.3500","439.3500","Kamloops","TPARC","FM","Pkt","TPARC","BC SOUTH"
"440","443.0750","448.0750","Haney","VE7TEL-9","FM","pkt","TPARC","LOWER MAINLAND &amp; COAST"
"440","443.3750","448.3750","Chilliwack","VE7TPC-8","FM","pkt","TPARC","LOWER MAINLAND &amp; COAST"
"440","443.4250","448.4250","Vancouver","BE7TEL-9","FM","Pkt","TPARC","LOWER MAINLAND &amp; COAST"
"440","430.2500","439.2500","Haney","TPARC","FM","Pkt","TPARC","LOWER MAINLAND &amp; COAST"
"144","145.0900","145.6900","Vancouver","VE7TEL-09","FM","pkt","TPARC","LOWER MAINLAND &amp; COAST"
"144","144.9300","145.5300","Haney","VE7TEL-9","FM","pkt","TPARC","LOWER MAINLAND &amp; COAST"
"144","145.0500","145.6500","Duncan","VE7CHO","FM/C4FM","77.0 Hz","Cowichan Vallley ECT","VANCOUVER ISLAND"
"144","146.7000","146.1000","Telkwa","VE7RBH","FM/C4FM","100.0Hz","Bulkley Valley ARS","BC NORTH"
"144","145.1700","144.5700","Nelson","VE7WKM","FM","100Hz","WKARC","BC SOUTH"
"440","440.0750","445.0750","Fort St John","VE7RUK","DMR","","BC North Country ARC","BC NORTH"
"144","145.1300","144.5300","Castlegar","VE7RRW","C4FM","100.0 Hz","VE7JPS","BC SOUTH"
"220","224.4000","222.8000","Vernon","VA7VMR","FM","100 Hz","VE7OHM","BC SOUTH"
"902","927.2500","902.2500","Vernon","VA7VMR","FM","100 Hz","VE7OHM","BC SOUTH"
"144","147.2200","147.8200","Vernon","VA7VMR","FM","123.0Hz","VE7OHM","BC SOUTH"
"440","449.7250","444.7250","Nanaimo","VE7DJA","FM","141.3Hz","NARA","VANCOUVER ISLAND"
"440","440.0250","445.0250","Dawson Creek","VE7DQZ","DMR","CC1","VE7SST","BC NORTH"
"144","145.5100","144.9100","Dawsn Creek","VE7DQZ","DMR","CC1","VE7SST","BC NORTH"
"144","145.5100","144.9100","Fort St. John","VE7YXJ","Dig,pkt","","VE7SST","BC NORTH"